kode,nama,lat,lng
71.01,Kabupaten Bolaang Mongondow,0.87061,124.0244
71.02,Kabupaten Minahasa,1.30076,124.91087
71.03,Kabupaten Kepulauan Sangihe,3.61245,125.49964
71.04,Kabupaten Kepulauan Talaud,4.00579,126.68188
71.05,Kabupaten Minahasa Selatan,1.21325,124.59717
71.06,Kabupaten Minahasa Utara,1.45906,124.97473
71.07,Kabupaten Minahasa Tenggara,1.04181,124.79762
71.08,Kabupaten Bolaang Mongondow Utara,0.90646,123.25905
71.09,Kabupaten Kep. Siau Tagulandang Biaro,2.7446,125.36229
71.10,Kabupaten Bolaang Mongondow Timur,0.76852,124.61317
71.11,Kabupaten Bolaang Mongondow Selatan,0.38354,124.04788
71.71,Kota Manado,1.48455,124.84913
71.72,Kota Bitung,1.4454,125.18198
71.73,Kota Tomohon,1.31452,124.82745
71.74,Kota Kotamobagu,0.7435,124.31267
72.01,Kabupaten Banggai,-0.99432,122.78854
72.02,Kabupaten Poso,-1.3952,120.75482
72.03,Kabupaten Donggala,-0.67846,119.75257
72.04,Kabupaten Toli-Toli,1.01849,120.79802
72.05,Kabupaten Buol,1.16908,121.40976
72.06,Kabupaten Morowali,-2.48086,121.93429
72.07,Kabupaten Banggai Kepulauan,-1.3119,123.29844
72.08,Kabupaten Parigi Moutong,-0.80543,120.16032
72.09,Kabupaten Tojo Una Una,-0.91465,121.58852
72.10,Kabupaten Sigi,-1.0474,119.95034
72.11,Kabupaten Banggai Laut,-1.60629,123.49639
72.12,Kabupaten Morowali Utara,-1.97728,121.33551
72.71,Kota Palu,-0.89996,119.89102
73.01,Kabupaten Kepulauan Selayar,-6.12018,120.46635
73.02,Kabupaten Bulukumba,-5.55824,120.19308
73.03,Kabupaten Bantaeng,-5.55315,119.96719
73.04,Kabupaten Jeneponto,-5.67695,119.74939
73.05,Kabupaten Takalar,-5.42546,119.44063
73.06,Kabupaten Gowa,-5.19981,119.45319
73.07,Kabupaten Sinjai,-5.1199,120.23544
73.08,Kabupaten Bone,-4.53925,120.30925
73.09,Kabupaten Maros,-5.01615,119.57446
73.10,Kabupaten Pangkajene dan Kepulauan,-4.84573,119.55983
73.11,Kabupaten Barru,-4.41404,119.61729
73.12,Kabupaten Soppeng,-4.36445,119.89777
73.13,Kabupaten Wajo,-4.11207,120.02716
73.14,Kabupaten Sidenreng Rappang,-3.93305,119.76931
73.15,Kabupaten Pinrang,-3.80926,119.65
73.16,Kabupaten Enrekang,-3.58833,119.7703
73.17,Kabupaten Luwu,-3.39469,120.36551
73.18,Kabupaten Tana Toraja,-3.08654,119.85708
73.22,Kabupaten Luwu Utara,-2.54985,120.34616
73.24,Kabupaten Luwu Timur,-2.61625,121.12411
73.26,Kabupaten Toraja Utara,-2.97362,119.89482
73.71,Kota Makassar,-5.13322,119.40784
73.72,Kota Parepare,-4.02778,119.63333
73.73,Kota Palopo,-3.00839,120.20156
74.01,Kabupaten Kolaka,-4.06081,121.61612
74.02,Kabupaten Konawe,-3.85423,122.04273
74.03,Kabupaten Muna,-4.79787,122.71896
74.04,Kabupaten Buton,-5.49577,122.84014
74.05,Kabupaten Konawe Selatan,-4.33204,122.28132
74.06,Kabupaten Bombana,-4.74723,122.01109
74.08,Kabupaten Kolaka Utara,-3.49014,120.88753
74.09,Kabupaten Konawe Utara,-3.51235,122.11073
74.10,Kabupaten Buton Utara,-4.80101,122.9831
74.11,Kabupaten Kolaka Timur,-4.00051,121.86195
74.12,Kabupaten Konawe Kepulauan,-4.05261,122.98858
74.13,Kabupaten Muna Barat,-4.79171,122.49418
74.14,Kabupaten Buton Tengah,-5.31641,122.53198
74.15,Kabupaten Buton Selatan,-5.60816,122.60062
74.71,Kota Kendari,-3.9729,122.51174
74.72,Kota Bau Bau,-5.48507,122.5848
75.01,Kabupaten Gorontalo,0.629,122.98094
75.02,Kabupaten Boalemo,0.52927,122.34754
75.03,Kabupaten Bone Bolango,0.55741,123.14392
75.04,Kabupaten Pohuwato,0.70553,121.71955
75.05,Kabupaten Gorontalo Utara,0.79095,122.86872
75.71,Kota Gorontalo,0.53191,123.0595
76.01,Kabupaten Pasangkayu,-1.17374,119.37724
76.02,Kabupaten Mamuju,-2.68975,118.88453
76.03,Kabupaten Mamasa,-2.95563,119.36286
76.04,Kabupaten Polewali Mandar,-3.40772,119.31115
76.05,Kabupaten Majene,-3.5481,118.95929
76.06,Kabupaten Mamuju Tengah,-2.08192,119.30101
81.01,Kabupaten Maluku Tengah,-3.30426,128.95409
81.02,Kabupaten Maluku Tenggara,-5.68292,132.71728
81.03,Kabupaten Kepulauan Tanimbar,-7.97012,131.31227
81.04,Kabupaten Buru,-3.25917,127.10278
81.05,Kabupaten Seram Bagian Timur,-3.10375,130.48861
81.06,Kabupaten Seram Bagian Barat,-3.06666,128.23004
81.07,Kabupaten Kepulauan Aru,-5.77518,134.21459
81.08,Kabupaten Maluku Barat Daya,-8.14804,127.80155
81.09,Kabupaten Buru Selatan,-3.83779,126.73426
81.71,Kota Ambon,-3.69432,128.1813
81.72,Kota Tual,-5.63468,132.75172
82.01,Kabupaten Halmahera Barat,1.08047,127.48016
82.02,Kabupaten Halmahera Tengah,0.33042,127.87025
82.03,Kabupaten Halmahera Utara,1.72819,127.9922
82.04,Kabupaten Halmahera Selatan,-0.64547,127.50498
82.05,Kabupaten Kepulauan Sula,-2.00698,125.96415
82.06,Kabupaten Halmahera Timur,0.67744,128.28408
82.07,Kabupaten Pulau Morotai,2.0133,128.28372
82.08,Kabupaten Pulau Taliabu,-1.94744,124.38722
82.71,Kota Ternate,0.78575,127.38785
82.72,Kota Tidore Kepulauan,0.67157,127.44672
91.03,Kabupaten Jayapura,-2.54987,140.4771
91.05,Kabupaten Kepulauan Yapen,-1.87407,136.23708
91.06,Kabupaten Biak Numfor,-1.17071,136.09019
91.10,Kabupaten Sarmi,-1.86857,138.74423
91.11,Kabupaten Keerom,-2.90873,140.77334
91.15,Kabupaten Waropen,-2.24084,136.37945
